Type,Matériau,Valeur,Points matériaux,Points spéciaux,Points missions,Titre,Texte
Action/Matériau,Fondation,1,,x,x,La révolte,Désignez un joueur qui passera son prochain tour.
Action/Matériau,Fondation,2,,x,x,Le marché,Regardez la main d'un adversaire. Prenez une carte de votre choix et donnez-lui en une de votre main.
Action/Matériau,Fondation,3,,x,x,L'étal,Vous pouvez poser autant de matériaux de votre main que vous voulez. Ces matériaux doivent être de même type et de même valeur que des matériaux déjà posés sur l'ensemble du jeu.
Action/Matériau,Fondation,4,,x,x,Le verger,Vous pouvez poser un matériau. Rejouez.
Action/Matériau,Pierre,1,,x,x,La révolte,Désignez un joueur qui passera son prochain tour.
Action/Matériau,Pierre,2,,x,x,La charrue,Regardez la main d'un adversaire. Prenez une carte de votre choix et donnez-lui en une de votre main.
Action/Matériau,Pierre,3,,x,x,L'étal,Vous pouvez poser autant de matériaux de votre main que vous voulez. Ces matériaux doivent être de même type et de même valeur que des matériaux déjà posés sur l'ensemble du jeu.
Action/Matériau,Tuile,1,,x,x,La cave,Retirez une carte au hasard du stock du joueur de votre choix.
Action/Matériau,Tuile,2,,x,x,Le four à pain,Placez 2 matériaux de votre choix. Les joueurs qui ont des matériaux de même type et de même valeur peuvent les poser aussi.
Action/Matériau,Fondation/Pierre,1,,x,x,Le hachoir,Tous les joueurs se défaussent de 2 cartes.
Action/Matériau,Fondation/Pierre,3,,x,x,Le moulin,Choisissez un joueur. Comparez vos mains mutuelles et négociez des échanges de cartes.
Action/Matériau,Fondation/Pierre,4,,x,x,Le tour de magie,Échangez un matériau d'un château adverse avec un matériau de votre château.
Action/Matériau,Pierre/Tuile,5,,x,x,La corbeille de fruits,Volez une carte spéciale d'un adversaire et mettez-la dans votre main.
Action/Matériau,Fondation/Pierre/Tuile,1,,x,x,Le hachoir,Tous les joueurs se défaussent de 2 cartes.
Action/Matériau,Fondation/Pierre/Tuile,2,,x,x,Le moulin,Choisissez un joueur. Comparez vos mains mutuelles et négociez des échanges de cartes.
Action,x,x,x,x,x,Le cellier,Regardez les cartes du stock d'un autre joueur.
Action,x,x,x,x,x,La place du village,Choisissez un autre joueur qui doit dévoiler sa main à l'assemblée.
Action,x,x,x,x,x,Le marchand de tapis,Échangez votre main avec celle du joueur de votre choix.
Action,x,x,x,x,x,La contrebande,Piochez 2 cartes au hasard dans le jeu du joueur de votre choix et donnez-lui en 2 de votre main.
Action,x,x,x,x,x,La contrebande,Piochez 2 cartes au hasard dans le jeu du joueur de votre choix et donnez-lui en 2 de votre main.
Matériau,Fondation,1,,x,x,Fondation,+​1
Matériau,Fondation,2,,x,x,Fondation,+​2
Matériau,Fondation,3,,x,x,Fondation,+​3
Matériau,Fondation,4,,x,x,Fondation,+​4
Matériau,Fondation,5,,x,x,Fondation,+​5
Matériau,Pierre,1,,x,x,Pierre,+​1
Matériau,Pierre,4,,x,x,Pierre,+​4
Matériau,Pierre,5,,x,x,Pierre,+​5
Matériau,Tuile,3,,x,x,Tuile,+​3
Matériau,Tuile,4,,x,x,Tuile,+​4
Spéciale,x,x,,1,x,Le quincaillier,Placez cette carte devant vous. Une fois dans la partie vous pouvez dupliquer une action qui vient d'être jouée.
Spéciale,x,x,,,x,Le relayeur,"À la fin de la partie, dupliquez une carte spéciale d'un adversaire."
Spéciale,x,x,,,x,Le rubanier,"À la fin de la partie, choisissez le château d'un autre joueur et marquez 1 point par matériau +5 posé sur son château."
Spéciale,x,x,,3,x,Le porte-clefs,"Cette carte ne peut être posée devant vous que lorsqu'elle est dévoilée, vue ou prise au hasard par un autre joueur."
Spéciale,x,x,,2,x,Le rôtisseur,Prenez une carte au hasard dans le stock d'un adversaire et placez-y celle-ci à la place.
Mission royale,x,x,x,x,14,Anne de Bretagne,Avoir 4 cartes de même type et de même valeur qu'un joueur de votre choix.
Mission royale,x,x,x,x,13,Les États Généraux,Ne pas avoir plus de 2 actions dans votre main à la fin de la partie.
Mission royale,x,x,x,x,12,Le Roi de Navarre,Avoir le stock rempli et sans carte action à la fin de la partie.
Mission royale,x,x,x,x,11,La poule au pot,Être le joueur à avoir le moins de cases occupées sur son château à la fin de la partie.
Mission royale,x,x,x,x,10,Le siège de Paris,Être celui qui a le moins de cartes spéciales jouées sur son propre château par soi-même à la fin de la partie.
Mission princière,x,x,x,x,9,La fleur de Lys,Jouez une action pure lors de 2 tours successifs.
Mission princière,x,x,x,x,8,Quinze cent quinze,Défaussez un matériau pur lors de 2 tours successifs.
Mission princière,x,x,x,x,7,Le siège de Paris,Jouez 2 cartes actions qui ciblent la même personne dans le même tour.
Mission princière,x,x,x,x,6,La prise de Grenade,N'ayez aucune carte dans votre main.
Mission princière,x,x,x,x,5,La part du pauvre,Défaussez une carte spéciale.
